Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0402,2,1uF,C52923
"C10, C11, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,C1525
"C13, C14",0402,2,33pF,C1562
"C15, C16",0603,2,10uF,C19702
D1,D_SOD-323,1,1N5819WS,C191023
D2,0603,1,LED,C2290
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C2765186
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,C50981
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C24980
"R1, R2",0402,2,5.1k,C25905
"R3, R4",0402,2,27,C25156
"R5, R7, R8",0402,3,1k,C11702
"R6, R9",0402,2,10k,C25744
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23,1,MCP1700x-330xxTT,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
