Designator,Mid X,Mid Y,Rotation,Layer
C1,183.15,-65.7575,90.0,top
C10,176.42,-74.2375,0.0,bottom
C11,179.54,-67.2475,90.0,bottom
C12,176.68,-67.4975,0.0,bottom
C13,178.8,-78.3175,90.0,top
C14,173.25,-79.0175,270.0,top
C15,171.51,-49.4925,270.0,top
C16,178.355,-54.2275,0.0,top
C17,174.49,-67.1675,90.0,bottom
C2,180.5,-65.7575,90.0,top
C3,183.409411,-72.736911,315.0,top
C4,179.8,-76.0675,270.0,top
C5,178.6,-69.8175,270.0,bottom
C6,183.13,-67.2475,0.0,top
C7,176.42,-71.4775,180.0,bottom
C8,177.55,-69.8175,270.0,bottom
C9,181.58,-65.7475,90.0,top
D1,174.09,-50.2775,0.0,top
D2,178.1825,-81.7275,0.0,top
J1,177.75,-43.955,180.0,top
J2,168.86,-66.9375,0.0,top
J3,186.64,-66.9375,0.0,top
J4,177.75,-90.8275,90.0,top
R1,180.11,-50.0375,180.0,top
R2,176.68,-49.9975,180.0,top
R3,179.45,-65.7775,270.0,top
R4,178.45,-65.7775,270.0,top
R5,179.94,-78.3275,90.0,top
R6,172.35,-55.1075,180.0,top
R7,175.13,-56.7575,90.0,bottom
R8,181.02,-82.1975,270.0,top
R9,180.73,-76.8675,270.0,bottom
SW1,176.26,-61.0875,90.0,bottom
SW2,177.49,-84.5875,180.0,top
U1,177.75,-70.9375,90.0,top
U3,176.3625,-58.1325,270.0,top
U4,174.95,-53.24,270.0,top
Y1,176.05,-78.6875,0.0,top
